zone_name,country_code,abbreviation,time_start,gmt_offset,dst
America/Chicago,US,CST,-2717647200,-21600,0
America/Chicago,US,CDT,-1633276800,-18000,1
America/Chicago,US,CST,-1615136400,-21600,0
America/Chicago,US,CDT,-1601827200,-18000,1
America/Chicago,US,CST,-1583686800,-21600,0
America/Chicago,US,CDT,-1563724800,-18000,1
America/Chicago,US,CST,-1551632400,-21600,0
America/Chicago,US,CDT,-1538928000,-18000,1
America/Chicago,US,CST,-1520182800,-21600,0
America/Chicago,US,CDT,-1504454400,-18000,1
America/Chicago,US,CST,-1491757200,-21600,0
America/Chicago,US,CDT,-1473004800,-18000,1
America/Chicago,US,CST,-1459702800,-21600,0
America/Chicago,US,CDT,-1441555200,-18000,1
America/Chicago,US,CST,-1428253200,-21600,0
America/Chicago,US,CDT,-1410105600,-18000,1
America/Chicago,US,CST,-1396803600,-21600,0
America/Chicago,US,CDT,-1378656000,-18000,1
America/Chicago,US,CST,-1365354000,-21600,0
America/Chicago,US,CDT,-1347206400,-18000,1
America/Chicago,US,CST,-1333904400,-21600,0
America/Chicago,US,CDT,-1315152000,-18000,1
America/Chicago,US,CST,-1301850000,-21600,0
America/Chicago,US,CDT,-1283702400,-18000,1
America/Chicago,US,CST,-1270400400,-21600,0
America/Chicago,US,CDT,-1252252800,-18000,1
America/Chicago,US,CST,-1238950800,-21600,0
America/Chicago,US,CDT,-1220803200,-18000,1
America/Chicago,US,CST,-1207501200,-21600,0
America/Chicago,US,CDT,-1189353600,-18000,1
America/Chicago,US,CST,-1176051600,-21600,0
America/Chicago,US,CDT,-1157299200,-18000,1
America/Chicago,US,CST,-1144602000,-21600,0
America/Chicago,US,CDT,-1125849600,-18000,1
America/Chicago,US,CST,-1112547600,-21600,0
America/Chicago,US,CDT,-1094400000,-18000,1
America/Chicago,US,CST,-1081098000,-21600,0
America/Chicago,US,CST,-1045414800,-21600,0
America/Chicago,US,CDT,-1031500800,-18000,1
America/Chicago,US,CST,-1018198800,-21600,0
America/Chicago,US,CDT,-1000051200,-18000,1
America/Chicago,US,CST,-986749200,-21600,0
America/Chicago,US,CDT,-967996800,-18000,1
America/Chicago,US,CST,-955299600,-21600,0
America/Chicago,US,CDT,-936547200,-18000,1
America/Chicago,US,CST,-923245200,-21600,0
America/Chicago,US,CDT,-905097600,-18000,1
America/Chicago,US,CST,-891795600,-21600,0
America/Chicago,US,CST,-765392400,-21600,0
America/Chicago,US,CDT,-747244800,-18000,1
America/Chicago,US,CST,-733942800,-21600,0
America/Chicago,US,CDT,-715795200,-18000,1
America/Chicago,US,CST,-702493200,-21600,0
America/Chicago,US,CDT,-684345600,-18000,1
America/Chicago,US,CST,-671043600,-21600,0
